lat	lng	type
42.8399093	23.3227529	училище
42.6551717	23.2262388	училище
42.6996662	23.3323072	училище
42.676665	23.2332549	училище
42.6728527	23.2609474	училище
42.6957365	23.2245339	училище
42.68519	23.2593889	училище
42.6863593	23.2477082	училище
42.6765748	23.2511054	училище
42.6884195	23.2507638	училище
42.6798862	23.2549256	училище
42.6751783	23.232507	училище
42.6603714	23.2642435	училище
42.6721597	23.3350969	училище
42.6814111	23.3341264	училище
42.6176096	23.416688	училище
42.6760496	23.3233955	училище
42.6742919	23.4314922	училище
42.6036968	23.4947498	училище
42.7028888	23.3309569	училище
42.5410491	23.5019557	училище
42.6816749	23.3726055	училище
42.6233656	23.4029013	училище
42.7063938	23.3533086	училище
42.7063294	23.3458676	училище
42.7011731	23.3673985	училище
42.7012818	23.3631711	училище
42.7070698	23.3596628	училище
42.6999076	23.3811484	училище
42.69766965	23.37113101	училище
42.7042106	23.3792593	училище
42.7027894	23.3561674	училище
42.7012818	23.3631711	училище
42.7134573	23.3820315	училище
42.7098513	23.3105688	училище
42.7618387	23.2020603	училище
42.7076017	23.3202361	училище
42.7251871	23.3387763	училище
42.7158738	23.346788	училище
42.7423139	23.344128	училище
42.7148407	23.3021349	училище
42.7181537	23.3468031	училище
42.6952268	23.3556283	училище
42.6807258	23.3775152	училище
42.6829962	23.3621669	училище
42.6900346	23.3832055	училище
42.6899474	23.3699147	училище
42.6784371	23.3586468	училище
42.685283	23.3722631	училище
42.685283	23.3722631	училище
42.6920053	23.359563	училище
42.6794792	23.3810407	училище
42.6936506	23.3099353	училище
42.6794792	23.3810407	училище
42.6794792	23.3810407	училище
42.6922218	23.2812695	училище
42.6910127	23.3265895	училище
42.6906929	23.3284161	училище
42.6883699	23.3233104	училище
42.578568	23.415333	училище
42.6926	23.3422565	училище
42.6909929	23.3212589	училище
42.6928754	23.3318194	училище
42.6566401	23.3742105	училище
42.6560943	23.3609927	училище
42.655917	23.3484485	училище
42.6467398	23.3553716	училище
42.6971186	23.3189714	училище
42.6847161	23.3145674	училище
42.6926899	23.3167495	училище
42.6796844	23.30954	училище
42.6635945	23.2990085	училище
42.6658925	23.297456	училище
42.6665268	23.2929733	училище
42.6736768	23.2962185	училище
42.6810545	23.3095643	училище
42.6807224	23.3136488	училище
42.6482973	23.3746521	училище
